hiperparam_ind_conv,problema,n_objetivos,indicador,0.001,0.1,0.2,0.3,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
IGD+,DTLZ1,2,spd,0.9814453,0.6152344,0.9814453,0.9863281,0.9345703,0.3476562,0.6875,,0.7841797,0.8125,0.8837891
IGD+,DTLZ1,2,spd,0.9814453,0.6523438,0.9755859,0.9677734,0.7841797,0.4228516,0.5390625,0.2460938,,0.6875,0.7216797
IGD+,DTLZ1,2,spd,0.9902344,0.2460938,0.8388672,0.9902344,0.7841797,0.3476562,0.2783203,0.2158203,0.3476562,,0.5
IGD+,DTLZ1,2,spd,0.8837891,0.3125,0.7539062,0.8837891,0.6875,0.2158203,0.3125,0.1376953,0.3125,0.5390625,
R2,DTLZ1,2,spd,,0.1875,0.1162109,0.02441406,0.4228516,0.2158203,0.3125,0.2158203,0.1376953,0.5,0.1875
R2,DTLZ1,2,spd,0.8388672,,0.4609375,0.1611328,0.8623047,0.8837891,0.5,0.5,0.5390625,0.9580078,0.6523438
R2,DTLZ1,2,spd,0.9033203,0.5771484,,0.3125,0.9472656,0.8623047,0.7216797,0.9580078,0.7841797,0.9951172,0.7841797
R2,DTLZ1,2,spd,0.9814453,0.8623047,0.7216797,,0.9970703,0.9970703,0.7539062,0.9902344,0.9345703,0.9951172,0.9472656
R2,DTLZ1,2,spd,0.6152344,0.1611328,0.06542969,0.004882812,,0.5771484,0.5,0.2460938,0.2158203,0.6875,0.5771484
R2,DTLZ1,2,spd,0.8125,0.1376953,0.1611328,0.004882812,0.4609375,,0.2783203,0.3476562,0.2460938,0.7539062,0.3476562
R2,DTLZ1,2,spd,0.7216797,0.5390625,0.3125,0.2783203,0.5390625,0.7539062,,0.5771484,0.3476562,0.6875,0.4228516
R2,DTLZ1,2,spd,0.8125,0.5390625,0.05273438,0.01367188,0.7841797,0.6875,0.4609375,,0.5,0.8388672,0.5390625
R2,DTLZ1,2,spd,0.8837891,0.5,0.2460938,0.08007812,0.8125,0.7841797,0.6875,0.5390625,,0.9990234,0.6152344
R2,DTLZ1,2,spd,0.5390625,0.05273438,0.006835938,0.006835938,0.3476562,0.2783203,0.3476562,0.1875,0.001953125,,0.1376953
R2,DTLZ1,2,spd,0.8388672,0.3847656,0.2460938,0.06542969,0.4609375,0.6875,0.6152344,0.5,0.4228516,0.8837891,
IGD+,DTLZ2,2,eps+,,0.9863281,0.9755859,0.9345703,0.9677734,0.9931641,0.9755859,0.9580078,0.9755859,0.9863281,0.8623047
IGD+,DTLZ2,2,eps+,0.01855469,,0.6523438,0.5390625,0.2783203,0.9677734,0.7539062,0.7841797,0.6523438,0.7216797,0.1875
IGD+,DTLZ2,2,eps+,0.03222656,0.3847656,,0.5,0.4228516,0.9033203,0.9199219,0.7841797,0.7216797,0.5771484,0.2158203
IGD+,DTLZ2,2,eps+,0.08007812,0.5,0.5390625,,0.4609375,0.8388672,0.5390625,0.6152344,0.5390625,0.3125,0.2783203
IGD+,DTLZ2,2,eps+,0.04199219,0.7539062,0.6152344,0.5771484,,0.9902344,0.7539062,0.7841797,0.6152344,0.7539062,0.3125
IGD+,DTLZ2,2,eps+,0.009765625,0.04199219,0.1162109,0.1875,0.01367188,,0.1162109,0.09667969,0.08007812,0.05273438,0.02441406
IGD+,DTLZ2,2,eps+,0.03222656,0.2783203,0.09667969,0.5,0.2783203,0.9033203,,0.6523438,0.6152344,0.5,0.1376953
IGD+,DTLZ2,2,eps+,0.05273438,0.2460938,0.2460938,0.4228516,0.2460938,0.9199219,0.3847656,,0.6152344,0.3847656,0.1376953
IGD+,DTLZ2,2,eps+,0.03222656,0.3847656,0.2783203,0.5,0.4228516,0.9345703,0.4228516,0.4228516,,0.4609375,0.02441406
IGD+,DTLZ2,2,eps+,0.01855469,0.3125,0.4609375,0.7216797,0.2783203,0.9580078,0.5390625,0.6523438,0.5771484,,0.1162109
IGD+,DTLZ2,2,eps+,0.1611328,0.8388672,0.8125,0.7539062,0.7216797,0.9814453,0.8837891,0.8837891,0.9814453,0.9033203,
R2,DTLZ2,2,eps+,,0.5390625,0.2783203,0.7216797,0.9902344,0.4609375,0.6523438,0.8837891,0.4609375,0.5390625,0.5390625
R2,DTLZ2,2,eps+,0.5,,0.3476562,0.8125,0.9677734,0.6152344,0.6152344,0.9033203,0.5,0.9033203,0.5390625
R2,DTLZ2,2,eps+,0.7539062,0.6875,,0.9033203,0.9755859,0.7216797,0.8388672,0.9580078,0.4228516,0.7539062,0.7216797
R2,DTLZ2,2,eps+,0.3125,0.2158203,0.1162109,,0.8837891,0.3847656,0.2783203,0.5,0.09667969,0.5771484,0.1875
R2,DTLZ2,2,eps+,0.01367188,0.04199219,0.03222656,0.1376953,,0.09667969,0.04199219,0.2158203,0.01367188,0.1875,0.08007812
R2,DTLZ2,2,eps+,0.5771484,0.4228516,0.3125,0.6523438,0.9199219,,0.5,0.7216797,0.3476562,0.5390625,0.4609375
R2,DTLZ2,2,eps+,0.3847656,0.4228516,0.1875,0.7539062,0.9677734,0.5390625,,0.6523438,0.2460938,0.6152344,0.5
R2,DTLZ2,2,eps+,0.1376953,0.1162109,0.05273438,0.5390625,0.8125,0.3125,0.3847656,,0.1162109,0.4228516,0.1875
R2,DTLZ2,2,eps+,0.5771484,0.5390625,0.6152344,0.9199219,0.9902344,0.6875,0.7841797,0.9033203,,0.7539062,0.7539062
R2,DTLZ2,2,eps+,0.5,0.1162109,0.2783203,0.4609375,0.8388672,0.5,0.4228516,0.6152344,0.2783203,,0.4228516
R2,DTLZ2,2,eps+,0.5,0.5,0.3125,0.8388672,0.9345703,0.5771484,0.5390625,0.8388672,0.2783203,0.6152344,
IGD+,DTLZ2,2,hv,,0.9580078,0.9345703,0.7841797,0.9931641,0.9931641,0.9033203,0.8837891,0.9033203,0.7539062,0.6875
IGD+,DTLZ2,2,hv,0.05273438,,0.8125,0.3847656,0.9345703,0.9677734,0.4609375,0.5390625,0.6875,0.2460938,0.0773846
IGD+,DTLZ2,2,hv,0.09667969,0.2158203,,0.1611328,0.4228516,0.4609375,0.2158203,0.5,0.1376953,0.08007812,0.08007812
IGD+,DTLZ2,2,hv,0.2460938,0.6523438,0.8623047,,0.9033203,0.9033203,0.8125,0.9755859,0.7795665,0.1875,0.1875
